Nucleus globosus cerebelli,cocomac:2072,cerebellum globose nucleus,UBERON:0002613,FMA:72536
retrosplenial cortex,cocomac:1933,retrosplenial region,UBERON:0013531,
Nucleus ruber,cocomac:2083,red nucleus,UBERON:0001947,FMA:62407
Insula callejae,cocomac:2197,island of Calleja,UBERON:0001881,FMA:61888
Accessory basal nucleus,cocomac:209,accessory basal amygdaloid nucleus,UBERON:0002885,FMA:61867
amygdala,cocomac:2035,amygdala,UBERON:0001876,FMA:61841
Colliculus superior,cocomac:1392,superior colliculus,UBERON:0001945,FMA:62403
Pretectum,cocomac:460,pretectal region,UBERON:0001944,FMA:62402
Lateral geniculate complex,cocomac:1336,lateral geniculate body,UBERON:0001926,FMA:62209
"Nucleus caudatus; head, medial, dorsal",cocomac:957,caudate nucleus,UBERON:0001873,FMA:61833
Nucleus olivaris superior,cocomac:2095,superior olivary complex,UBERON:0002128,FMA:72247
"Putamen; middle, medial, dorsal",cocomac:972,putamen,UBERON:0001874,FMA:61834
"Nucleus caudatus; genu, intermediate, ventral",cocomac:1134,caudate nucleus,UBERON:0001873,FMA:61833
Posterior paraventricular nucleus thalami,cocomac:1344,posterior paraventricular nucleus of thalamus,UBERON:0000433,FMA:76961
Nucleus reticularis tegmenti pontis,cocomac:2114,reticulotegmental nucleus,UBERON:0002147,FMA:72471
Perirhinal cortex,cocomac:27,perirhinal cortex,UBERON:0006083,
infundibular nucleus,cocomac:1974,arcuate nucleus of hypothalamus,UBERON:0001932,FMA:62329
"Putamen; middle, lateral, ventral",cocomac:970,putamen,UBERON:0001874,FMA:61834
Corpus restiforme,cocomac:2162,inferior cerebellar peduncle,UBERON:0002163,FMA:72615
"Nucleus medialis dorsalis thalami, pars multiformis",cocomac:546,paralaminar part of medial dorsal nucleus,UBERON:0002650,FMA:62160
Gyrus hippocampi,cocomac:2183,parahippocampal gyrus,UBERON:0002973,FMA:61918
amygdaloid complex,cocomac:1251,amygdala,UBERON:0001876,FMA:61841
Inferior parietal cortex,cocomac:1064,inferior parietal cortex,UBERON:0006088,FMA:77536
Stratum album profundum of the superior colliculus,cocomac:1398,deep white layer of superior colliculus,UBERON:0006790,FMA:72416
Nucleus lateralis septi,cocomac:2207,lateral septal nucleus,UBERON:0002667,FMA:61878
Parasubiculum,cocomac:1193,parasubiculum,UBERON:0004683,FMA:77604
anterior amygdaloid area,cocomac:59,anterior amygdaloid area,UBERON:0002890,FMA:61861
substantia nigra,cocomac:1198,substantia nigra,UBERON:0002038,FMA:67947
Prelimbic area,cocomac:278,Brodmann (1909) area 32,UBERON:0013560,FMA:68629
Nucleus fastigii cerebelli,cocomac:2070,fastigial nucleus,UBERON:0002153,FMA:72537
Nucleus ruber magnocellularis,cocomac:1687,magnocellular part of red nucleus,UBERON:0002936,FMA:72431
Middle temporal area,cocomac:43,middle temporal area,UBERON:0004685,
"Putamen; caudal, lateral, central",cocomac:1094,putamen,UBERON:0001874,FMA:61834
Nucleus praetectalis anterior,cocomac:1683,olivary pretectal nucleus,UBERON:0002565,FMA:72405
nucleus reticularis thalami,cocomac:1993,thalamic reticular nucleus,UBERON:0001903,FMA:62026
Superior temporal area,cocomac:1926,Brodmann (1909) area 22,UBERON:0013553,FMA:68619
Nucleus paracentralis thalami,cocomac:232,paracentral nucleus,UBERON:0001924,FMA:62172
Presubiculum,cocomac:20,presubiculum,UBERON:0001953,FMA:62486
lateral nucleus amygdala,cocomac:1042,lateral amygdaloid nucleus,UBERON:0002886,FMA:61866
"Nucleus geniculatus lateralis, pars dorsalis",cocomac:256,dorsal lateral geniculate nucleus,UBERON:0002479,FMA:62214
