"inferior temporal cortex, posteroventral part",cocomac:2262,inferior temporal sulcus,UBERON:0002969,FMA:83784
"inferior temporal cortex, posteroventral part",cocomac:2262,inferior temporal gyrus,UBERON:0002751,FMA:61907
"inferior temporal cortex, posteroventral part",cocomac:2262,temporal cortex,UBERON:0016538,FMA:242201
"inferior temporal cortex, posteroventral part",cocomac:2262,temporal cortex cingulum,UBERON:0022429,
"inferior temporal cortex, posteroventral part",cocomac:2262,temporal cortex association area,UBERON:0035013,
"inferior temporal cortex, posteroventral part",cocomac:2262,inferior parietal cortex,UBERON:0006088,FMA:77536
"inferior temporal cortex, posteroventral part",cocomac:2262,inferior lateral occipital cortex,UBERON:0022367,FMA:71034
dorsal premotor cortex,cocomac:809,premotor cortex,UBERON:0016634,FMA:224852
dorsal premotor cortex,cocomac:809,dorsal zone of medial entorhinal cortex,UBERON:0018262,
dorsal premotor cortex,cocomac:809,dorsal horn of spinal cord,UBERON:0002256,FMA:256530
dorsal premotor cortex,cocomac:809,dorsal motor nucleus of vagus nerve,UBERON:0002870,FMA:54592
dorsal premotor cortex,cocomac:809,dorsal trigeminal tract,UBERON:0002797,FMA:72500
"CA1´ subfield, stratum oriens",cocomac:1996,hippocampus stratum oriens,UBERON:0005371,FMA:83893
"CA1´ subfield, stratum oriens",cocomac:1996,CA1 stratum oriens,UBERON:0014552,FMA:277856
"CA1´ subfield, stratum oriens",cocomac:1996,CA3 stratum oriens,UBERON:0014553,FMA:277860
"CA1´ subfield, stratum oriens",cocomac:1996,CA2 stratum oriens,UBERON:0014551,FMA:277858
"CA1´ subfield, stratum oriens",cocomac:1996,stratum oriens of uncal CA3,UBERON:0034872,
"CA1´ subfield, stratum oriens",cocomac:1996,stratum oriens of uncal CA1,UBERON:0034861,
"CA1´ subfield, stratum oriens",cocomac:1996,stratum oriens of uncal CA2,UBERON:0034866,
"CA1´ subfield, stratum oriens",cocomac:1996,stratum oriens of rostral CA3,UBERON:0034842,
"CA1´ subfield, stratum oriens",cocomac:1996,stratum oriens of rostral CA1,UBERON:0034831,
"CA1´ subfield, stratum oriens",cocomac:1996,stratum oriens of rostral CA2,UBERON:0034836,
"CA1´ subfield, stratum oriens",cocomac:1996,stratum oriens of caudal CA3,UBERON:0034812,
"Posterior cortical amygdaloid nucleus, layer I",cocomac:289,cortical amygdaloid nucleus,UBERON:0002891,FMA:61862
"Posterior cortical amygdaloid nucleus, layer I",cocomac:289,posterolateral cortical amygdaloid nucleus,UBERON:0034999,
"Posterior cortical amygdaloid nucleus, layer I",cocomac:289,posteromedial cortical amygdaloid nucleus,UBERON:0035001,
"Posterior cortical amygdaloid nucleus, layer I",cocomac:289,anterior cortical amygdaloid nucleus,UBERON:0034991,
"Posterior cortical amygdaloid nucleus, layer I",cocomac:289,posterior amygdaloid nucleus,UBERON:0022229,
"Posterior cortical amygdaloid nucleus, layer I",cocomac:289,cortical layer I,UBERON:0005390,FMA:83900
rostral parabelt area,cocomac:1396,rostral intralaminar nuclear group,UBERON:0002965,FMA:62164
rostral parabelt area,cocomac:1396,rostral interstitial nucleus of medial longitudinal fasciculus,UBERON:0002717,FMA:72433
rostral parabelt area,cocomac:1396,rostral middle frontal gyrus,UBERON:0006446,FMA:70687
rostral parabelt area,cocomac:1396,rostral migratory stream,UBERON:0008881,
rostral parabelt area,cocomac:1396,rostral linear nucleus,UBERON:0013734,
rostral parabelt area,cocomac:1396,superior rostral gyrus,UBERON:0019279,
rostral parabelt area,cocomac:1396,rostral sulcus,UBERON:0025763,
rostral parabelt area,cocomac:1396,rostral anterior cingulate cortex,UBERON:0022438,FMA:271599
rostral parabelt area,cocomac:1396,rostral portion of the medial accessory olive,UBERON:0024043,
rostral parabelt area,cocomac:1396,rostral spinocerebellar tract,UBERON:0023984,
rostral parabelt area,cocomac:1396,rostral epiphyseal tract,UBERON:0034716,
rostral parabelt area,cocomac:1396,rostral octaval nerve motor nucleus,UBERON:2002175,
rostral parabelt area,cocomac:1396,Brodmann (1909) area 3,UBERON:0006100,FMA:68599
rostral parabelt area,cocomac:1396,Brodmann (1909) area 10,UBERON:0013541,FMA:68607
ventral area 9,cocomac:2337,"Ongur, Price, and Ferry (2003) area 9",UBERON:0028436,
ventral area 9,cocomac:2337,Brodmann (1909) area 9,UBERON:0013540,FMA:68606
ventral area 9,cocomac:2337,ventral tegmental area,UBERON:0002691,FMA:72438
ventral area 9,cocomac:2337,area X of ventral lateral nucleus,UBERON:0002687,FMA:62198
ventral area 9,cocomac:2337,medial ventral tegmental area,UBERON:0023865,
"basal accessory nucleus, magnocellular division",cocomac:1703,paraventricular nucleus of the hypothalamus magnocellular division - posterior magnocellular part medial zone,UBERON:0022783,
"basal accessory nucleus, magnocellular division",cocomac:1703,paraventricular nucleus of the hypothalamus magnocellular division - posterior magnocellular part lateral zone,UBERON:0022791,
"basal accessory nucleus, magnocellular division",cocomac:1703,paraventricular nucleus of the hypothalamus magnocellular division - anterior magnocellular part,UBERON:0014599,
"basal accessory nucleus, magnocellular division",cocomac:1703,paraventricular nucleus of the hypothalamus magnocellular division - medial magnocellular part,UBERON:0014600,
"basal accessory nucleus, magnocellular division",cocomac:1703,paraventricular nucleus of the hypothalamus magnocellular division - posterior magnocellular part,UBERON:0014601,
"basal accessory nucleus, magnocellular division",cocomac:1703,accessory basal amygdaloid nucleus,UBERON:0002885,FMA:61867
Area 1 of cingulate cortex,cocomac:1881,posterior cingulate cortex,UBERON:0022353,FMA:271593
Area 1 of cingulate cortex,cocomac:1881,isthmus of cingulate cortex,UBERON:0027061,
Area 1 of cingulate cortex,cocomac:1881,rostral anterior cingulate cortex,UBERON:0022438,FMA:271599
Area 1 of cingulate cortex,cocomac:1881,cingulate cortex,UBERON:0003027,
Area 1 of cingulate cortex,cocomac:1881,caudal anterior cingulate cortex,UBERON:0028715,
Area 1 of cingulate cortex,cocomac:1881,anterior cingulate cortex,UBERON:0009835,FMA:271599
Area 1 of cingulate cortex,cocomac:1881,cingulate cortex cingulum,UBERON:0022428,
CA1 subfield of Ammon`s horn,cocomac:23,CA1 field of hippocampus,UBERON:0003881,FMA:74042
CA1 subfield of Ammon`s horn,cocomac:23,pyramidal layer of CA1,UBERON:0014548,FMA:277868
CA1 subfield of Ammon`s horn,cocomac:23,CA1 stratum oriens,UBERON:0014552,FMA:277856
CA1 subfield of Ammon`s horn,cocomac:23,CA1 stratum radiatum,UBERON:0014554,FMA:277862
CA1 subfield of Ammon`s horn,cocomac:23,CA1 stratum lacunosum moleculare,UBERON:0014557,FMA:277850
CA1 subfield of Ammon`s horn,cocomac:23,CA1 alveus,UBERON:0014570,FMA:277874
"CA1 subfield, stratum lacunosum et moleculare",cocomac:1275,CA1 stratum lacunosum moleculare,UBERON:0014557,FMA:277850
"CA1 subfield, stratum lacunosum et moleculare",cocomac:1275,hippocampus stratum lacunosum moleculare,UBERON:0007640,FMA:83149
"CA1 subfield, stratum lacunosum et moleculare",cocomac:1275,CA3 stratum lacunosum moleculare,UBERON:0014559,FMA:277854
"CA1 subfield, stratum lacunosum et moleculare",cocomac:1275,CA2 stratum lacunosum moleculare,UBERON:0014558,FMA:277852
"CA1 subfield, stratum lacunosum et moleculare",cocomac:1275,hippocampus stratum lacunosum,UBERON:0005370,
"CA1 subfield, stratum lacunosum et moleculare",cocomac:1275,stratum fibrosum et griseum superficiale,UBERON:2001347,
"CA1 subfield, stratum lacunosum et moleculare",cocomac:1275,CA1 stratum oriens,UBERON:0014552,FMA:277856
"CA1 subfield, stratum lacunosum et moleculare",cocomac:1275,CA1 stratum radiatum,UBERON:0014554,FMA:277862
"Accessory basal amygdaloid nucleus, ventral division",cocomac:329,accessory basal amygdaloid nucleus,UBERON:0002885,FMA:61867
"Accessory basal amygdaloid nucleus, ventral division",cocomac:329,basal amygdaloid nucleus,UBERON:0002887,FMA:68855
"Accessory basal amygdaloid nucleus, ventral division",cocomac:329,lateral part of basal amygdaloid nucleus,UBERON:0002888,FMA:68857
"Accessory basal amygdaloid nucleus, ventral division",cocomac:329,medial part of basal amygdaloid nucleus,UBERON:0002889,FMA:68858
"Accessory basal amygdaloid nucleus, ventral division",cocomac:329,inferior olive ventral accessory nucleus,UBERON:0013610,
"Accessory basal amygdaloid nucleus, ventral division",cocomac:329,basal ventral medial nucleus of thalamus,UBERON:0034993,FMA:84344
"Accessory basal amygdaloid nucleus, ventral division",cocomac:329,ventral accessory optic nucleus,UBERON:2000454,
"Accessory basal amygdaloid nucleus, ventral division",cocomac:329,"paraventricular nucleus of the hypothalamus descending division - medial parvicellular part, ventral zone",UBERON:0014595,
Nucleus dorsalis thalami,cocomac:254,dorsal tegmental nucleus pars dorsalis,UBERON:0014568,
Nucleus dorsalis thalami,cocomac:254,ventral posteromedial nucleus of thalamus,UBERON:0002945,FMA:62202
Nucleus dorsalis thalami,cocomac:254,medial dorsal nucleus of thalamus,UBERON:0002739,FMA:62156
Nucleus dorsalis thalami,cocomac:254,anteroventral nucleus of thalamus,UBERON:0002685,FMA:62143
Nucleus dorsalis thalami,cocomac:254,ventral lateral nucleus of thalamus,UBERON:0001925,FMA:62186
Nucleus dorsalis thalami,cocomac:254,anterodorsal nucleus of thalamus,UBERON:0002679,FMA:62141
Nucleus dorsalis thalami,cocomac:254,centromedian nucleus of thalamus,UBERON:0002972,FMA:62165
Nucleus dorsalis thalami,cocomac:254,lateral posterior nucleus of thalamus,UBERON:0002983,FMA:62177
Nucleus dorsalis thalami,cocomac:254,caudal part of ventral posterolateral nucleus of thalamus,UBERON:0002781,FMA:62206
Nucleus dorsalis thalami,cocomac:254,anteromedial nucleus of thalamus,UBERON:0002681,FMA:62142
Nucleus dorsalis thalami,cocomac:254,ventral anterior nucleus of thalamus,UBERON:0002637,FMA:62184
Nucleus dorsalis thalami,cocomac:254,thalamic reticular nucleus,UBERON:0001903,FMA:62026
Nucleus dorsalis thalami,cocomac:254,ventral posterior nucleus of thalamus,UBERON:0002596,FMA:62187
Nucleus dorsalis thalami,cocomac:254,submedial nucleus of thalamus,UBERON:0003031,FMA:62223
Nucleus dorsalis thalami,cocomac:254,anterior paraventricular nucleus of thalamus,UBERON:0000434,FMA:76962
Nucleus dorsalis thalami,cocomac:254,paraventricular nucleus of thalamus,UBERON:0001920,FMA:62152
Nucleus dorsalis thalami,cocomac:254,central dorsal nucleus of thalamus,UBERON:0003034,FMA:62169
Nucleus dorsalis thalami,cocomac:254,posterior paraventricular nucleus of thalamus,UBERON:0000433,FMA:76961
Nucleus dorsalis thalami,cocomac:254,posterior nucleus of thalamus,UBERON:0003030,FMA:62221
"Medial amygdaloid nucleus, layer I",cocomac:294,medial amygdaloid nucleus,UBERON:0002892,FMA:74046
"Medial amygdaloid nucleus, layer I",cocomac:294,medial part of basal amygdaloid nucleus,UBERON:0002889,FMA:68858
"Medial amygdaloid nucleus, layer I",cocomac:294,accessory basal amygdaloid nucleus,UBERON:0002885,FMA:61867
"Medial amygdaloid nucleus, layer I",cocomac:294,lateral amygdaloid nucleus,UBERON:0002886,FMA:61866
"Medial amygdaloid nucleus, layer I",cocomac:294,posteromedial cortical amygdaloid nucleus,UBERON:0035001,
superior division of ventral cortical nucleus,cocomac:476,"paraventricular nucleus of the hypothalamus descending division - medial parvicellular part, ventral zone",UBERON:0014595,
superior division of ventral cortical nucleus,cocomac:476,cortical amygdaloid nucleus,UBERON:0002891,FMA:61862
superior division of ventral cortical nucleus,cocomac:476,anterior cortical amygdaloid nucleus,UBERON:0034991,
superior division of ventral cortical nucleus,cocomac:476,posterolateral cortical amygdaloid nucleus,UBERON:0034999,
superior division of ventral cortical nucleus,cocomac:476,posteromedial cortical amygdaloid nucleus,UBERON:0035001,
"dorsal lateral geniculate nucleus, parvocellular region, external part",cocomac:1161,parvocellular layer of dorsal nucleus of lateral geniculate body,UBERON:0013607,FMA:76992
"dorsal lateral geniculate nucleus, parvocellular region, external part",cocomac:1161,lateral geniculate nucleus parvocellular layer,UBERON:0022319,
"dorsal lateral geniculate nucleus, parvocellular region, external part",cocomac:1161,dorsal lateral geniculate nucleus,UBERON:0002479,FMA:62214
"dorsal lateral geniculate nucleus, parvocellular region, external part",cocomac:1161,magnocellular layer of dorsal nucleus of lateral geniculate body,UBERON:0013606,FMA:76989
"dorsal lateral geniculate nucleus, parvocellular region, external part",cocomac:1161,koniocellular layer of dorsal nucleus of lateral geniculate body,UBERON:0013615,FMA:76988
"dorsal lateral geniculate nucleus, parvocellular region, external part",cocomac:1161,parvocellular part of red nucleus,UBERON:0002938,FMA:72430
"dorsal lateral geniculate nucleus, parvocellular region, external part",cocomac:1161,dorsal nucleus of medial geniculate body,UBERON:0002758,FMA:62216
CA2 subfield of Ammons horn,cocomac:305,Ammon's horn,UBERON:0001954,FMA:62493
CA2 subfield of Ammons horn,cocomac:305,CA2 field of hippocampus,UBERON:0003882,FMA:74044
CA2 subfield of Ammons horn,cocomac:305,pyramidal layer of CA2,UBERON:0014549,FMA:277870
