source,table,column,value,input_value,candidate,identifier,fma_id,category,relation,prov,eid,ms,notes
nlx_154697_8,nlx_154697_8,con_from,,,,,,,,curator,,,
nlx_154697_8,nlx_154697_8,con_from,10,,10,,,,,curator,,,
nlx_154697_8,nlx_154697_8,con_from,11,,11,,,,,curator,,,
nlx_154697_8,nlx_154697_8,con_from,12,,12,,,,,curator,,,
nlx_154697_8,nlx_154697_8,con_from,12L,,12L,,,,,curator,,,
nlx_154697_8,nlx_154697_8,con_from,13,,13,,,,,curator,,,
nlx_154697_8,nlx_154697_8,con_from,14,,14,,,,,curator,,,
nlx_154697_8,nlx_154697_8,con_from,23,,23,,,,,curator,,,
nlx_154697_8,nlx_154697_8,con_from,24,,24,,,,,curator,,,
nlx_154697_8,nlx_154697_8,con_from,25,,25,,,,,curator,,,
nlx_154697_8,nlx_154697_8,con_from,31,,31,,,,,curator,,,
nlx_154697_8,nlx_154697_8,con_from,32,,32,,,,,curator,,,
nlx_154697_8,nlx_154697_8,con_from,3rd ventricle,,third ventricle,UBERON:0002286,FMA:78454,anatomical entity,,synonyms,,,
nlx_154697_8,nlx_154697_8,con_from,46,,46,,,,,curator,,,
nlx_154697_8,nlx_154697_8,con_from,46vr,,46vr,,,,,curator,,,
nlx_154697_8,nlx_154697_8,con_from,4th ventricle,,fourth ventricle,UBERON:0002422,FMA:78469,anatomical entity,,synonyms,,,
nlx_154697_8,nlx_154697_8,con_from,5,,5,,,,,curator,,,
nlx_154697_8,nlx_154697_8,con_from,6V,,6V,,,,,curator,,,
nlx_154697_8,nlx_154697_8,con_from,7a,,7a,,,,,curator,,,
nlx_154697_8,nlx_154697_8,con_from,7m,,7m,,,,,curator,,,
nlx_154697_8,nlx_154697_8,con_from,9,,9,,,,,curator,,,
nlx_154697_8,nlx_154697_8,con_from,ABDUCENS NUCLEUS,,abducens nucleus,UBERON:0002682,FMA:54504,anatomical entity,,labels,,,
nlx_154697_8,nlx_154697_8,con_from,AIP,,AIP,,,,,curator,,,
nlx_154697_8,nlx_154697_8,con_from,AIT,,AIT,,,,,curator,,,
nlx_154697_8,nlx_154697_8,con_from,AMYGDALA,,amygdala,UBERON:0001876,FMA:61841,anatomical entity,,labels,,,
nlx_154697_8,nlx_154697_8,con_from,ARCUATE NUCLEUS,,arcuate nucleus of hypothalamus,UBERON:0001932,FMA:62329,anatomical entity,,synonyms,,,
nlx_154697_8,nlx_154697_8,con_from,AREA POSTREMA,,area postrema,UBERON:0002162,FMA:72607,anatomical entity,,labels,,,
nlx_154697_8,nlx_154697_8,con_from,Abducens nucleus,,abducens nucleus,UBERON:0002682,FMA:54504,anatomical entity,,labels,,,
nlx_154697_8,nlx_154697_8,con_from,Abducens nucleus proper,,abducens nucleus,UBERON:0002682,FMA:54504,anatomical entity,,synonyms,,,
nlx_154697_8,nlx_154697_8,con_from,Accesory abducens nucleus,,Accesory abducens nucleus,,,,,curator,,,
nlx_154697_8,nlx_154697_8,con_from,Accessory Olfactory Bulb,,accessory olfactory bulb,UBERON:0004069,,anatomical entity,,labels,,,
nlx_154697_8,nlx_154697_8,con_from,Accessory facial nucleus,,Accessory facial nucleus,,,,,curator,,,
nlx_154697_8,nlx_154697_8,con_from,Accessory olfactory bulb,,accessory olfactory bulb,UBERON:0004069,,anatomical entity,,labels,,,
nlx_154697_8,nlx_154697_8,con_from,"Accessory olfactory bulb, glomerular layer",,accessory olfactory bulb glomerular layer,UBERON:0007631,,anatomical entity,,labels,,,
nlx_154697_8,nlx_154697_8,con_from,"Accessory olfactory bulb, granular layer",,accessory olfactory bulb granule cell layer,UBERON:0015244,,anatomical entity,,synonyms,,,
nlx_154697_8,nlx_154697_8,con_from,"Accessory olfactory bulb, mitral layer",,accessory olfactory bulb mitral cell layer,UBERON:0015432,,anatomical entity,,synonyms,,,
nlx_154697_8,nlx_154697_8,con_from,Accumbens nucleus,,nucleus accumbens,UBERON:0001882,FMA:61889,anatomical entity,,synonyms,,,
nlx_154697_8,nlx_154697_8,con_from,Acoustic nerve,,vestibulocochlear nerve,UBERON:0001648,FMA:50869,anatomical entity,,synonyms,,,
nlx_154697_8,nlx_154697_8,con_from,Agranular insular area,,Agranular insular area,,,,,curator,,,
nlx_154697_8,nlx_154697_8,con_from,Agranular insular area dorsal part,,Agranular insular area dorsal part,,,,,curator,,,
nlx_154697_8,nlx_154697_8,con_from,Agranular insular area posterior part,,Agranular insular area posterior part,,,,,curator,,,
nlx_154697_8,nlx_154697_8,con_from,Agranular insular area ventral part,,Agranular insular area ventral part,,,,,curator,,,
nlx_154697_8,nlx_154697_8,con_from,Alveus,,hippocampus alveus,UBERON:0007639,FMA:83867,anatomical entity,,synonyms,,,
