source,table,column,value,input_value,candidate,identifier,fma_id,category,relation,prov,eid,ms,notes
nlx_154697_8,nlx_154697_8,con_to,ABDUCENS NUCLEUS,,abducens nucleus,UBERON:0002682,FMA:54504,anatomical entity,,labels,birnlex_1366,,
nlx_154697_8,nlx_154697_8,con_to,AMYGDALA,,amygdala,UBERON:0001876,FMA:61841,anatomical entity,,labels,birnlex_1241,,
nlx_154697_8,nlx_154697_8,con_to,AREA POSTREMA,,area postrema,UBERON:0002162,FMA:72607,anatomical entity,,labels,birnlex_2636,,
nlx_154697_8,nlx_154697_8,con_to,Abducens nucleus,,abducens nucleus,UBERON:0002682,FMA:54504,anatomical entity,,labels,birnlex_1366,,
nlx_154697_8,nlx_154697_8,con_to,Abducens nucleus proper,,abducens nucleus,UBERON:0002682,FMA:54504,anatomical entity,,synonyms,birnlex_1366,,
nlx_154697_8,nlx_154697_8,con_to,Accesory abducens nucleus,,Accesory abducens nucleus,,,,,curator,nlx_144454,,
nlx_154697_8,nlx_154697_8,con_to,Accessory Olfactory Bulb,,accessory olfactory bulb,UBERON:0004069,,anatomical entity,,labels,nlx_anat_20090453,,
nlx_154697_8,nlx_154697_8,con_to,Accessory olfactory bulb,,accessory olfactory bulb,UBERON:0004069,,anatomical entity,,labels,nlx_anat_20090453,,
nlx_154697_8,nlx_154697_8,con_to,"Accessory olfactory bulb, glomerular layer",,accessory olfactory bulb glomerular layer,UBERON:0007631,,anatomical entity,,labels,nlx_anat_20090453,,
nlx_154697_8,nlx_154697_8,con_to,"Accessory olfactory bulb, granular layer",,accessory olfactory bulb granule cell layer,UBERON:0015244,,anatomical entity,,synonyms,nlx_anat_20090453,,
nlx_154697_8,nlx_154697_8,con_to,"Accessory olfactory bulb, mitral layer",,accessory olfactory bulb mitral cell layer,UBERON:0015432,,anatomical entity,,synonyms,nlx_anat_20090453,,
nlx_154697_8,nlx_154697_8,con_to,Ammon Horn,,Ammon's horn,UBERON:0001954,FMA:62493,anatomical entity,,synonyms,birnlex_721,,
nlx_154697_8,nlx_154697_8,con_to,Ammon horn,,Ammon's horn,UBERON:0001954,FMA:62493,anatomical entity,,synonyms,birnlex_721,,
nlx_154697_8,nlx_154697_8,con_to,Amygdala,Amygdala,amygdala,UBERON:0001876,FMA:61841,anatomical entity,,labels,birnlex_1241,,
nlx_154697_8,nlx_154697_8,con_to,Ansiform lobule crus 1,,Ansiform lobule crus 1,,,,,curator,nlx_anat_20081208,,
nlx_154697_8,nlx_154697_8,con_to,Anterior amygdaloid area,,anterior amygdaloid area,UBERON:0002890,FMA:61861,anatomical entity,,labels,birnlex_2698,,
nlx_154697_8,nlx_154697_8,con_to,Anterior cingulate area,,Brodmann (1909) area 24,UBERON:0006101,FMA:68621,anatomical entity,,synonyms,birnlex_798,,
nlx_154697_8,nlx_154697_8,con_to,Anterior cingulate area dorsal part,,Anterior cingulate area dorsal part,,,,,curator,birnlex_798,,
nlx_154697_8,nlx_154697_8,con_to,Anterior cingulate area ventral part,,Anterior cingulate area ventral part,,,,,curator,birnlex_798,,
nlx_154697_8,nlx_154697_8,con_to,Anterior group of the dorsal thalamus,,anterior nuclear group,UBERON:0002788,FMA:62019,anatomical entity,,synonyms,birnlex_1692,,
nlx_154697_8,nlx_154697_8,con_to,Anterior hypothalamic area,,Anterior nucleus of hypothalamus,NIFGA:birnlex_1226,,anatomical entity,,synonyms,birnlex_1226,,
nlx_154697_8,nlx_154697_8,con_to,Anterior hypothalamic area,,anterior nucleus of hypothalamus,UBERON:0002634,FMA:62319,anatomical entity,,synonyms,birnlex_1226,,
nlx_154697_8,nlx_154697_8,con_to,Anterior hypothalamic area,,anterior hypothalamic region,UBERON:0002550,FMA:62027,anatomical entity,,synonyms,birnlex_1226,,
nlx_154697_8,nlx_154697_8,con_to,Anterior hypothalamic area proper,,Anterior hypothalamic area proper,,,,,curator,birnlex_1226,,
nlx_154697_8,nlx_154697_8,con_to,Anterior hypothalamic central part,,anterior nucleus of hypothalamus central part,UBERON:0014590,,anatomical entity,,synonyms,birnlex_1226,,
nlx_154697_8,nlx_154697_8,con_to,Anterior hypothalamic dorsal part,,anterior nucleus of hypothalamus dorsal part,UBERON:0014592,,anatomical entity,,synonyms,birnlex_1226,,
nlx_154697_8,nlx_154697_8,con_to,Anterior hypothalamic nucleus,,anterior nucleus of hypothalamus,UBERON:0002634,FMA:62319,anatomical entity,,synonyms,birnlex_1226,,
nlx_154697_8,nlx_154697_8,con_to,Anterior hypothalamic nucleus anterior part,,anterior nucleus of hypothalamus anterior part,UBERON:0014589,,anatomical entity,,synonyms,birnlex_1226,,
nlx_154697_8,nlx_154697_8,con_to,Anterior hypothalamic posterior part,,anterior nucleus of hypothalamus posterior part,UBERON:0014591,,anatomical entity,,synonyms,birnlex_1226,,
nlx_154697_8,nlx_154697_8,con_to,Anterior olfactory nucleus,Anterior olfactory nucleus,anterior olfactory nucleus,UBERON:0002266,FMA:77628,anatomical entity,,labels,birnlex_1085,,
nlx_154697_8,nlx_154697_8,con_to,Anterior olfactory nucleus dorsal part,,Anterior olfactory nucleus dorsal part,,,,,curator,birnlex_1085,,
nlx_154697_8,nlx_154697_8,con_to,Anterior olfactory nucleus dorsal part molecular layer,,Anterior olfactory nucleus dorsal part molecular layer,,,,,curator,birnlex_1085,,
nlx_154697_8,nlx_154697_8,con_to,Anterior olfactory nucleus dorsal part pyramidal layer,,Anterior olfactory nucleus dorsal part pyramidal layer,,,,,curator,birnlex_1085,,
nlx_154697_8,nlx_154697_8,con_to,Anterior olfactory nucleus external part,,Anterior olfactory nucleus external part,,,,,curator,birnlex_1085,,
nlx_154697_8,nlx_154697_8,con_to,Anterior olfactory nucleus external part molecular layer,,Anterior olfactory nucleus external part molecular layer,,,,,curator,birnlex_1085,,
nlx_154697_8,nlx_154697_8,con_to,Anterior olfactory nucleus external part pyramidal layer,,Anterior olfactory nucleus external part pyramidal layer,,,,,curator,birnlex_1085,,
nlx_154697_8,nlx_154697_8,con_to,Anterior olfactory nucleus lateral part,,Anterior olfactory nucleus lateral part,,,,,curator,birnlex_1085,,
nlx_154697_8,nlx_154697_8,con_to,Anterior olfactory nucleus lateral part molecular layer,,Anterior olfactory nucleus lateral part molecular layer,,,,,curator,birnlex_1085,,
nlx_154697_8,nlx_154697_8,con_to,Anterior olfactory nucleus lateral part pyramidal layer,,Anterior olfactory nucleus lateral part pyramidal layer,,,,,curator,birnlex_1085,,
nlx_154697_8,nlx_154697_8,con_to,Anterior olfactory nucleus medial part,,Anterior olfactory nucleus medial part,,,,,curator,birnlex_1085,,
nlx_154697_8,nlx_154697_8,con_to,Anterior olfactory nucleus medial part molecular layer,,Anterior olfactory nucleus medial part molecular layer,,,,,curator,birnlex_1085,,
nlx_154697_8,nlx_154697_8,con_to,Anterior olfactory nucleus medial part pyramidal layer,,Anterior olfactory nucleus medial part pyramidal layer,,,,,curator,birnlex_1085,,
nlx_154697_8,nlx_154697_8,con_to,Anterior olfactory nucleus posteroventral part,,Anterior olfactory nucleus posteroventral part,,,,,curator,birnlex_1085,,
nlx_154697_8,nlx_154697_8,con_to,Anterior olfactory nucleus posteroventral part molecular layer,,Anterior olfactory nucleus posteroventral part molecular layer,,,,,curator,birnlex_1085,,
